DateTime,Temperatur,Luftfugtighed,Middelvindhastighed,Højeste vindstød,Nedbør,Sigtbarhed
3/1/2025 0:00,-1,100,1,"2,5",0,100
3/1/2025 1:00,"-1,7",100,"1,1","2,1",0,100
3/1/2025 2:00,"-1,9",100,2,"2,7",0,100
3/1/2025 3:00,"-2,3",100,"1,4","2,3",0,200
3/1/2025 4:00,"-2,6",100,"1,6","2,9",0,300
3/1/2025 5:00,"-2,5",100,"1,5","2,8",0,500
3/1/2025 6:00,"-1,3",100,1,"1,9",0,400
3/1/2025 7:00,"-0,5",100,2,"5,4",0,400
3/1/2025 8:00,"-0,3",100,"2,1","4,2",0,400
3/1/2025 9:00,"1,2",100,"2,2","5,3",0,600
3/1/2025 10:00,"2,8",100,"2,9","5,8",0,16000
3/1/2025 11:00,"3,5",100,"2,5",5,0,23000
3/1/2025 12:00,"5,9",81,"2,2","4,8",0,30000
3/1/2025 13:00,"7,2",69,3,"6,5",0,30000
3/1/2025 14:00,"7,1",70,3,"6,4",0,40000
3/1/2025 15:00,7,69,"4,1","7,3",0,40000
3/1/2025 16:00,"7,1",69,"3,8","6,4",0,40000
3/1/2025 17:00,"6,6",71,4,"7,1",0,45000
3/1/2025 18:00,5,80,"3,8","6,5",0,50000
3/1/2025 19:00,"3,2",88,3,"5,4",0,45000
3/1/2025 20:00,"2,4",92,"3,7","6,7",0,40000
3/1/2025 21:00,"2,5",94,"3,2","5,1",0,20000
3/1/2025 22:00,"2,8",94,"3,7","6,2",0,16000
3/1/2025 23:00,"3,2",94,"3,5","6,6",0,16000
3/2/2025 0:00,"3,7",92,"3,5","7,2",0,18000
3/2/2025 1:00,"4,3",91,"3,7","7,8",0,20000
3/2/2025 2:00,"4,6",92,"3,8","6,6",0,16000
3/2/2025 3:00,"4,6",93,"3,6","6,9",0,12000
3/2/2025 4:00,"4,8",92,3,"5,9",0,16000
3/2/2025 5:00,"4,9",91,"2,2","4,7",0,17000
3/2/2025 6:00,"4,3",91,3,"5,2",0,16000
3/2/2025 7:00,4,90,"3,1","5,4",0,15000
3/2/2025 8:00,"3,4",93,"2,6","3,9",0,13000
3/2/2025 9:00,"4,3",88,"3,2","5,2",0,18000
3/2/2025 10:00,"5,3",80,"4,3","6,3",0,24000
3/2/2025 11:00,"6,8",73,"4,3","7,4",0,25000
3/2/2025 12:00,"8,1",59,"5,1","8,4",0,26000
3/2/2025 13:00,"8,1",62,"5,5","10,3",0,30000
3/2/2025 14:00,"8,6",59,"5,8","9,8",0,30000
3/2/2025 15:00,"8,8",59,"5,4","10,5",0,30000
3/2/2025 16:00,"7,5",64,"6,4","12,7",0,45000
3/2/2025 17:00,"6,7",66,"6,3","10,2",0,50000
3/2/2025 18:00,"5,7",72,"4,2","7,9",0,35000
3/2/2025 19:00,5,76,"4,3","8,2",0,35000
3/2/2025 20:00,"4,4",82,"4,1","7,6",0,40000
3/2/2025 21:00,"3,9",86,"3,9","6,2",0,35000
3/2/2025 22:00,"4,6",80,5,9,0,50000
3/2/2025 23:00,"4,8",82,"4,7","8,4",0,50000
3/3/2025 0:00,"5,1",81,"6,3","12,4",0,40000
3/3/2025 1:00,"5,1",81,"6,9","11,8",0,50000
3/3/2025 2:00,"4,7",80,"4,9","9,4",0,50000
3/3/2025 3:00,"4,9",83,"5,1","8,4",0,40000
3/3/2025 4:00,"4,7",85,"4,1","6,7",0,30000
3/3/2025 5:00,"4,8",87,"5,1","9,2",0,26000
3/3/2025 6:00,5,87,"5,7","8,6",0,21000
3/3/2025 7:00,"5,3",86,"4,6","6,8",0,22000
3/3/2025 8:00,"5,8",84,4,"7,5",0,27000
3/3/2025 9:00,"6,2",79,"5,6","8,9",0,29000
3/3/2025 10:00,7,75,"5,8",13,0,35000
3/3/2025 11:00,"7,4",76,"5,6","11,7",0,28000
3/3/2025 12:00,"7,5",78,"5,2","9,4",0,24000
3/3/2025 13:00,8,78,"6,8","11,6",0,25000
3/3/2025 14:00,"7,9",77,"5,5","10,3",0,24000
3/3/2025 15:00,"8,4",78,"5,1","10,1",0,23000
3/3/2025 16:00,"7,6",79,"5,6","12,1",0,23000
3/3/2025 17:00,"7,4",82,"5,4",8,0,26000
3/3/2025 18:00,6,87,"4,7","7,6",0,18000
3/3/2025 19:00,"5,9",88,"4,1",7,0,17000
3/3/2025 20:00,"5,4",90,"4,2","6,3",0,17000
3/3/2025 21:00,"5,4",92,"4,1","6,4",0,17000
3/3/2025 22:00,6,88,"4,9","8,7",0,22000
3/3/2025 23:00,"5,7",88,"5,5","7,9",0,30000
3/4/2025 0:00,"5,6",92,"6,6","9,7",0,20000
3/4/2025 1:00,"5,7",89,"6,1","10,9",0,40000
3/4/2025 2:00,"5,9",87,"5,5","9,3",0,30000
3/4/2025 3:00,"5,7",85,"5,7","10,1",0,30000
3/4/2025 4:00,5,88,"5,5","9,1",0,23000
3/4/2025 5:00,"4,6",89,"5,7","9,3",0,20000
3/4/2025 6:00,5,92,"4,5","7,5",0,23000
3/4/2025 7:00,"5,7",92,"4,8","8,3",0,20000
3/4/2025 8:00,"6,2",90,"4,9","8,9",0,21000
3/4/2025 9:00,"6,8",86,"4,8","9,2",0,25000
3/4/2025 10:00,7,79,"6,7","11,9",0,29000
3/4/2025 11:00,8,77,"5,8","11,8",0,35000
3/4/2025 12:00,"9,2",74,"6,4","11,6",0,40000
3/4/2025 13:00,"8,9",75,"5,4","11,2",0,45000
3/4/2025 14:00,"9,5",74,6,"10,6",0,45000
3/4/2025 15:00,"9,7",72,"5,6","10,1",0,45000
3/4/2025 16:00,9,76,"4,5","8,3",0,45000
3/4/2025 17:00,8,80,"4,3","7,7",0,40000
3/4/2025 18:00,"7,4",80,"4,6","8,5",0,45000
3/4/2025 19:00,"6,9",80,"5,3","8,9",0,40000
3/4/2025 20:00,"6,8",78,"5,9",10,0,40000
3/4/2025 21:00,"6,2",78,"5,4","9,2",0,40000
3/4/2025 22:00,6,78,"7,2","12,8",0,40000
3/4/2025 23:00,6,77,"7,6","13,3",0,35000
3/5/2025 0:00,"5,9",79,"6,9","11,1",0,30000
3/5/2025 1:00,"5,8",80,"7,3","11,6",0,26000
3/5/2025 2:00,"5,4",82,"7,5",11,0,21000
3/5/2025 3:00,"5,1",80,"6,2","11,3",0,21000
3/5/2025 4:00,"5,4",75,"7,1","12,7",0,24000
3/5/2025 5:00,5,74,"5,3","8,3",0,22000
3/5/2025 6:00,"5,2",72,"6,7","11,1",0,22000
3/5/2025 7:00,"4,9",74,"6,2","9,5",0,17000
3/5/2025 8:00,"5,3",75,"5,9","10,1",0,15000
3/5/2025 9:00,"6,1",73,"6,2","9,8",0,16000
3/5/2025 10:00,7,73,"7,1","10,9",0,16000
3/5/2025 11:00,"8,2",71,"6,3","9,5",0,18000
3/5/2025 12:00,"9,8",69,"7,7","12,6",0,21000
3/5/2025 13:00,"10,8",69,"7,4","12,4",0,21000
3/5/2025 14:00,"11,2",68,8,"12,8",0,22000
3/5/2025 15:00,"11,2",70,"7,4","12,5",0,26000
3/5/2025 16:00,11,73,"8,5","14,2",0,35000
3/5/2025 17:00,"10,3",72,"8,1","13,8",0,26000
3/5/2025 18:00,9,71,"6,1","11,7",0,30000
