Datetime (UTC),Country,Zone name,Zone id,carbon_intensity,Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method,date
2024-10-01 00:00:00,Denmark,Denmark,DK,49.19,84.23,93.27,85.68,entsoe.eu,False,,2024-10-01 00:00:00
2024-10-01 01:00:00,Denmark,Denmark,DK,49.38,84.9,93.17,84.98,entsoe.eu,False,,2024-10-01 01:00:00
2024-10-01 02:00:00,Denmark,Denmark,DK,47.2,81.59,93.45,85.31,entsoe.eu,False,,2024-10-01 02:00:00
2024-10-01 03:00:00,Denmark,Denmark,DK,30.32,60.95,95.44,90.1,entsoe.eu,False,,2024-10-01 03:00:00
2024-10-01 04:00:00,Denmark,Denmark,DK,20.13,51.56,96.67,91.16,entsoe.eu,False,,2024-10-01 04:00:00
2024-10-01 05:00:00,Denmark,Denmark,DK,20.69,51.78,96.43,91.37,entsoe.eu,False,,2024-10-01 05:00:00
2024-10-01 06:00:00,Denmark,Denmark,DK,22.28,52.54,96.04,91.31,entsoe.eu,False,,2024-10-01 06:00:00
2024-10-01 07:00:00,Denmark,Denmark,DK,20.99,50.78,96.28,91.7,entsoe.eu,False,,2024-10-01 07:00:00
2024-10-01 08:00:00,Denmark,Denmark,DK,22.26,52.31,96.08,91.96,entsoe.eu,False,,2024-10-01 08:00:00
2024-10-01 09:00:00,Denmark,Denmark,DK,20.71,51.62,96.26,92.74,entsoe.eu,False,,2024-10-01 09:00:00
2024-10-01 10:00:00,Denmark,Denmark,DK,19.39,50.57,96.44,93.07,entsoe.eu,False,,2024-10-01 10:00:00
2024-10-01 11:00:00,Denmark,Denmark,DK,17.09,47.26,96.93,93.49,entsoe.eu,False,,2024-10-01 11:00:00
2024-10-01 12:00:00,Denmark,Denmark,DK,18.78,49.2,96.6,92.6,entsoe.eu,False,,2024-10-01 12:00:00
2024-10-01 13:00:00,Denmark,Denmark,DK,19.19,50.06,96.54,92.16,entsoe.eu,False,,2024-10-01 13:00:00
2024-10-01 14:00:00,Denmark,Denmark,DK,19.38,49.8,96.41,90.91,entsoe.eu,False,,2024-10-01 14:00:00
2024-10-01 15:00:00,Denmark,Denmark,DK,22.95,53.78,95.91,90.32,entsoe.eu,False,,2024-10-01 15:00:00
2024-10-01 16:00:00,Denmark,Denmark,DK,24.94,59.04,95.57,89.81,entsoe.eu,False,,2024-10-01 16:00:00
2024-10-01 17:00:00,Denmark,Denmark,DK,34.51,73.21,93.33,87.87,entsoe.eu,False,,2024-10-01 17:00:00
2024-10-01 18:00:00,Denmark,Denmark,DK,31.06,67.52,94.22,88.53,entsoe.eu,False,,2024-10-01 18:00:00
2024-10-01 19:00:00,Denmark,Denmark,DK,27.83,63.69,94.84,88.01,entsoe.eu,False,,2024-10-01 19:00:00
2024-10-01 20:00:00,Denmark,Denmark,DK,23.24,56.82,95.74,88.54,entsoe.eu,False,,2024-10-01 20:00:00
2024-10-01 21:00:00,Denmark,Denmark,DK,21.84,56.7,96.09,89.42,entsoe.eu,False,,2024-10-01 21:00:00
2024-10-01 22:00:00,Denmark,Denmark,DK,22.94,58.05,95.91,89.1,entsoe.eu,False,,2024-10-01 22:00:00
2024-10-01 23:00:00,Denmark,Denmark,DK,27.3,62.06,95.16,89.14,entsoe.eu,False,,2024-10-01 23:00:00
2024-10-02 00:00:00,Denmark,Denmark,DK,27.79,62.6,95.18,89.52,entsoe.eu,False,,2024-10-02 00:00:00
2024-10-02 01:00:00,Denmark,Denmark,DK,27.98,62.7,95.28,89.02,entsoe.eu,False,,2024-10-02 01:00:00
2024-10-02 02:00:00,Denmark,Denmark,DK,27.01,61.42,95.42,89.07,entsoe.eu,False,,2024-10-02 02:00:00
2024-10-02 03:00:00,Denmark,Denmark,DK,33.79,69.82,94.56,88.23,entsoe.eu,False,,2024-10-02 03:00:00
