DateTime,Temperatur,Luftfugtighed,Middelvindhastighed,Højeste vindstød,Nedbør,Sigtbarhed,Date
3/1/2025 0:00,-1.0,100,1,"2,5",0,100,2025-03-01 00:00:00
3/1/2025 1:00,-1.7,100,"1,1","2,1",0,100,2025-03-01 01:00:00
3/1/2025 2:00,-1.9,100,2,"2,7",0,100,2025-03-01 02:00:00
3/1/2025 3:00,-2.3,100,"1,4","2,3",0,200,2025-03-01 03:00:00
3/1/2025 4:00,-2.6,100,"1,6","2,9",0,300,2025-03-01 04:00:00
3/1/2025 5:00,-2.5,100,"1,5","2,8",0,500,2025-03-01 05:00:00
3/1/2025 6:00,-1.3,100,1,"1,9",0,400,2025-03-01 06:00:00
3/1/2025 7:00,-0.5,100,2,"5,4",0,400,2025-03-01 07:00:00
3/1/2025 8:00,-0.3,100,"2,1","4,2",0,400,2025-03-01 08:00:00
3/1/2025 9:00,1.2,100,"2,2","5,3",0,600,2025-03-01 09:00:00
3/1/2025 10:00,2.8,100,"2,9","5,8",0,16000,2025-03-01 10:00:00
3/1/2025 11:00,3.5,100,"2,5",5,0,23000,2025-03-01 11:00:00
3/1/2025 12:00,5.9,81,"2,2","4,8",0,30000,2025-03-01 12:00:00
3/1/2025 13:00,7.2,69,3,"6,5",0,30000,2025-03-01 13:00:00
3/1/2025 14:00,7.1,70,3,"6,4",0,40000,2025-03-01 14:00:00
3/1/2025 15:00,7.0,69,"4,1","7,3",0,40000,2025-03-01 15:00:00
3/1/2025 16:00,7.1,69,"3,8","6,4",0,40000,2025-03-01 16:00:00
3/1/2025 17:00,6.6,71,4,"7,1",0,45000,2025-03-01 17:00:00
3/1/2025 18:00,5.0,80,"3,8","6,5",0,50000,2025-03-01 18:00:00
3/1/2025 19:00,3.2,88,3,"5,4",0,45000,2025-03-01 19:00:00
3/1/2025 20:00,2.4,92,"3,7","6,7",0,40000,2025-03-01 20:00:00
3/1/2025 21:00,2.5,94,"3,2","5,1",0,20000,2025-03-01 21:00:00
3/1/2025 22:00,2.8,94,"3,7","6,2",0,16000,2025-03-01 22:00:00
3/1/2025 23:00,3.2,94,"3,5","6,6",0,16000,2025-03-01 23:00:00
3/2/2025 0:00,3.7,92,"3,5","7,2",0,18000,2025-03-02 00:00:00
3/2/2025 1:00,4.3,91,"3,7","7,8",0,20000,2025-03-02 01:00:00
3/2/2025 2:00,4.6,92,"3,8","6,6",0,16000,2025-03-02 02:00:00
3/2/2025 3:00,4.6,93,"3,6","6,9",0,12000,2025-03-02 03:00:00
3/2/2025 4:00,4.8,92,3,"5,9",0,16000,2025-03-02 04:00:00
3/2/2025 5:00,4.9,91,"2,2","4,7",0,17000,2025-03-02 05:00:00
3/2/2025 6:00,4.3,91,3,"5,2",0,16000,2025-03-02 06:00:00
