dataset,test_size,horizon,order,seasonal_order,iter,mae,mse,rmse,smape
weather,small,5,"(1, 1, 1)","(2, 0, 0, 24)",0,0.532,0.293,0.541,26.546
weather,small,5,"(1, 1, 1)","(2, 0, 0, 24)",1,0.315,0.175,0.418,28.617
weather,small,5,"(1, 1, 1)","(2, 0, 0, 24)",2,1.113,3.712,1.927,63.983
weather,small,5,"(1, 1, 1)","(2, 0, 0, 24)",3,2.895,19.038,4.363,98.668
weather,small,5,"(1, 1, 1)","(2, 0, 0, 24)",4,4.531,34.533,5.876,110.645
weather,small,5,"(1, 1, 1)","(2, 0, 0, 24)",5,7.034,62.787,7.924,151.689
weather,small,5,"(1, 1, 1)","(2, 0, 0, 24)",6,6.984,53.78,7.333,96.256
weather,small,5,"(1, 1, 1)","(2, 0, 0, 24)",7,3.886,15.33,3.915,35.26
weather,small,5,"(1, 1, 1)","(2, 0, 0, 24)",8,1.101,1.344,1.159,7.423
weather,small,5,"(1, 1, 1)","(2, 0, 0, 24)",9,0.412,0.253,0.503,2.766
weather,small,5,"(1, 1, 1)","(2, 0, 0, 24)",10,0.399,0.206,0.454,2.644
weather,small,5,"(1, 1, 1)","(2, 0, 0, 24)",11,0.589,0.678,0.823,4.061
weather,small,5,"(1, 1, 1)","(2, 0, 0, 24)",12,1.666,3.361,1.833,11.344
weather,small,5,"(1, 1, 1)","(2, 0, 0, 24)",13,1.103,2.092,1.446,8.929
weather,small,5,"(1, 1, 1)","(2, 0, 0, 24)",14,2.175,8.391,2.897,22.428
weather,small,5,"(1, 1, 1)","(2, 0, 0, 24)",15,3.051,13.666,3.697,37.584
weather,small,5,"(1, 1, 1)","(2, 0, 0, 24)",16,2.591,9.402,3.066,43.132
weather,small,5,"(1, 1, 1)","(2, 0, 0, 24)",17,4.41,21.971,4.687,75.687
weather,small,5,"(1, 1, 1)","(2, 0, 0, 24)",18,2.954,8.861,2.977,77.159
weather,small,5,"(1, 1, 1)","(2, 0, 0, 24)",19,1.009,1.052,1.026,106.872
weather,small,5,"(1, 1, 1)","(2, 0, 0, 24)",20,0.443,0.266,0.516,65.441
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",0,7.113,66.866,8.177,140.941
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",1,6.905,62.727,7.92,139.402
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",2,7.2,66.095,8.13,145.037
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",3,7.55,70.334,8.387,151.482
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",4,7.237,64.473,8.03,148.385
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",5,7.615,69.176,8.317,154.846
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",6,6.499,52.14,7.221,138.115
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",7,3.816,19.893,4.46,76.438
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",8,2.535,8.814,2.969,53.423
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",9,2.847,12.401,3.522,56.759
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",10,3.154,15.498,3.937,59.246
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",11,3.277,16.273,4.034,60.141
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",12,4.154,24.452,4.945,66.292
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",13,3.404,16.805,4.099,61.039
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",14,3.532,17.631,4.199,62.046
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",15,3.611,17.95,4.237,62.797
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",16,3.24,13.584,3.686,59.919
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",17,3.793,18.897,4.347,65.131
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",18,2.935,10.816,3.289,57.858
