date,y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,-1.3,2.437422037124634,,,,,,,,,,,,,,,,,,,,
1,-1.7,2.106820821762085,1.8225624561309814,,,,,,,,,,,,,,,,,,,
2,-2.0,1.5751057863235474,1.3591842651367188,0.498182475566864,,,,,,,,,,,,,,,,,,
3,-1.8,1.1623866558074951,0.8829891085624695,0.16681164503097534,-0.6052602529525757,,,,,,,,,,,,,,,,,
4,-2.0,0.6996111273765564,0.5016893148422241,0.01365230605006218,-0.7812479138374329,-1.2802612781524658,,,,,,,,,,,,,,,,
5,-0.4,,0.06931345909833908,-0.1484118551015854,-0.9198325872421265,-1.3356573581695557,-1.4320026636123657,,,,,,,,,,,,,,,
6,4.3,,,-0.18820449709892273,-1.0332672595977783,-1.2962816953659058,-1.5642001628875732,-1.4267103672027588,,,,,,,,,,,,,,
7,9.8,,,,-1.0999858379364014,-1.3875579833984375,-1.4898245334625244,-1.517974853515625,-1.912404179573059,,,,,,,,,,,,,
8,12.1,,,,,-1.5179859399795532,-1.4517321586608887,-1.6965948343276978,-2.0853395462036133,-2.2288122177124023,,,,,,,,,,,,
9,13.4,,,,,,-1.1685206890106201,-1.4257535934448242,-1.904241919517517,-2.1271982192993164,-1.7065507173538208,,,,,,,,,,,
10,14.3,,,,,,,-0.47562316060066223,-1.0440865755081177,-1.2732423543930054,-0.6986599564552307,-1.38222336769104,,,,,,,,,,
11,15.6,,,,,,,,1.2480162382125854,0.9025543332099915,1.6133418083190918,0.6142929196357727,2.2883384227752686,,,,,,,,,
12,14.9,,,,,,,,,3.263568639755249,3.953399419784546,2.936476945877075,4.863503456115723,7.444867134094238,,,,,,,,
13,14.8,,,,,,,,,,5.815715789794922,4.84688663482666,6.745947360992432,8.996253967285156,11.338906288146973,,,,,,,
14,14.8,,,,,,,,,,,6.026803493499756,7.728367805480957,10.183612823486328,12.41853141784668,13.238476753234863,,,,,,
15,13.2,,,,,,,,,,,,8.81020736694336,11.086577415466309,13.35989761352539,14.075013160705566,14.341136932373047,,,,,
16,12.8,,,,,,,,,,,,,11.710675239562988,13.747175216674805,14.532757759094238,14.884102821350098,14.91447639465332,,,,
17,9.8,,,,,,,,,,,,,,13.693734169006348,14.530359268188477,14.854839324951172,15.034167289733887,15.850489616394043,,,
18,5.3,,,,,,,,,,,,,,,14.078038215637207,14.545099258422852,14.718343734741211,15.579959869384766,14.541820526123047,,
19,3.8,,,,,,,,,,,,,,,,13.706762313842773,13.867488861083984,14.706920623779297,13.686619758605957,14.023995399475098,
20,2.8,,,,,,,,,,,,,,,,,12.55240249633789,13.37204360961914,12.389257431030273,12.685773849487305,13.666210174560547
21,1.6,,,,,,,,,,,,,,,,,,11.606476783752441,10.533702850341797,10.866912841796875,11.982599258422852
22,1.0,,,,,,,,,,,,,,,,,,,8.269710540771484,8.644513130187988,9.84338092803955
23,0.4,,,,,,,,,,,,,,,,,,,,6.459956169128418,7.516822338104248
24,-0.2,,,,,,,,,,,,,,,,,,,,,5.8776164054870605
