dataset,test_size,horizon,context_length,rope_scaling,iter,mae,mse,rmse,smape
weather,small,5,32,True,0,2.445,19.638,4.431,0.087
weather,small,5,32,True,1,4.963,48.272,6.948,0.172
weather,small,5,32,True,2,4.464,19.129,4.374,0.165
weather,small,5,32,True,3,2.273,6.771,2.602,0.094
weather,small,5,32,True,4,3.839,20.443,4.521,0.16
weather,small,5,32,True,5,2.577,10.827,3.29,0.113
weather,small,5,32,True,6,3.13,10.056,3.171,0.136
weather,small,5,32,True,7,1.538,2.567,1.602,0.071
weather,small,5,32,True,8,1.401,2.569,1.603,0.067
weather,small,5,32,True,9,1.928,8.375,2.894,0.093
weather,small,5,32,True,10,1.987,5.891,2.427,0.093
weather,small,5,32,True,11,3.921,20.109,4.484,0.174
weather,small,5,32,True,12,2.026,6.023,2.454,0.088
weather,small,5,32,True,13,4.407,33.218,5.764,0.174
weather,small,5,32,True,14,6.217,69.266,8.323,0.241
weather,small,5,32,True,15,7.668,74.345,8.622,0.3
weather,small,5,32,True,16,5.289,33.914,5.824,0.196
weather,small,5,32,True,17,1.084,4.242,2.06,0.038
weather,small,5,32,True,18,2.509,11.35,3.369,0.087
weather,small,5,32,True,19,2.535,6.205,2.491,0.09
weather,small,5,32,True,20,4.413,31.135,5.58,0.15
weather,small,5,32,True,21,10.93,119.897,10.95,0.366
weather,small,5,32,True,22,11.456,161.831,12.721,0.33
weather,small,5,32,True,23,17.985,469.832,21.676,0.427
weather,small,5,32,True,24,25.515,969.234,31.133,0.48
weather,small,5,32,True,25,34.121,1534.801,39.177,0.573
weather,small,5,32,True,26,33.755,1525.746,39.061,0.486
weather,small,5,32,True,27,40.976,1643.419,40.539,0.583
weather,small,5,32,True,28,17.813,340.961,18.465,0.214
weather,small,5,32,True,29,7.467,76.574,8.751,0.096
weather,small,5,32,True,30,5.398,59.508,7.714,0.07
weather,small,5,32,True,31,11.389,173.461,13.17,0.15
weather,small,5,32,True,32,16.385,395.986,19.899,0.215
weather,small,5,32,True,33,38.19,1666.634,40.824,0.556
weather,small,5,32,True,34,35.831,2167.184,46.553,0.426
weather,small,5,32,True,35,45.551,2441.482,49.411,0.517
weather,small,5,32,True,36,39.802,1654.184,40.672,0.401
weather,small,5,32,True,37,18.047,266.178,16.315,0.161
weather,small,5,32,True,38,7.005,35.434,5.953,0.06
weather,small,5,32,True,39,3.821,33.493,5.787,0.033
weather,small,5,32,True,40,7.156,65.302,8.081,0.069
weather,small,5,32,True,41,13.444,263.285,16.226,0.14
weather,small,5,32,True,42,9.335,176.46,13.284,0.098
weather,small,5,32,True,43,11.922,251.749,15.867,0.158
weather,small,5,32,True,44,22.136,537.3,23.18,0.306
weather,small,5,32,True,45,6.953,80.858,8.992,0.127
weather,small,5,32,True,46,13.655,245.747,15.676,0.25
