date,y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,25.26,25.732588649905296,,,,,,,,,,,,,,,,,,,,
1,22.46,25.99629882376361,25.48407673348254,,,,,,,,,,,,,,,,,,,
2,20.88,27.01421418609793,26.36546434856352,23.43934550441979,,,,,,,,,,,,,,,,,,
3,19.89,27.84398063207675,27.148984709609408,23.819012378395684,21.34803086039379,,,,,,,,,,,,,,,,,
4,21.6,28.908702603923587,28.144133584865926,25.064097570876754,22.320076193064153,20.895288628484053,,,,,,,,,,,,,,,,
5,23.05,,29.112558253495166,26.09818539136137,23.5615760456879,21.93813351216555,22.7559676635654,,,,,,,,,,,,,,,
6,20.48,,,27.441579127528357,25.06578684445384,23.608672905410728,24.608746118027767,24.954437294128056,,,,,,,,,,,,,,
7,19.3,,,,26.63662167271481,25.322374472595584,26.291460739889757,26.710417816879286,22.594614033366412,,,,,,,,,,,,,
8,19.1,,,,,27.086565412563303,28.013350069300415,28.44255481850736,23.94778533305478,20.93282052564743,,,,,,,,,,,,
9,21.06,,,,,,29.427839183946105,29.851394067526172,25.78531328539843,22.51602872580908,20.883191150734817,,,,,,,,,,,
10,24.47,,,,,,,31.05722135834948,27.13412394404233,24.189080942744738,22.48122495897725,22.712237952981297,,,,,,,,,,
11,29.64,,,,,,,,28.60618033323881,25.755665707260803,24.392432611823054,24.64252897523886,26.26565099310875,,,,,,,,,
12,32.08,,,,,,,,,27.192146536509554,26.017157011461308,26.209882545480554,27.913982580113995,31.532798796327896,,,,,,,,
13,30.74,,,,,,,,,,27.42717543114182,27.56447062440496,28.998621516391935,33.08654210466452,34.214694659244856,,,,,,,
14,28.37,,,,,,,,,,,28.575509898553747,29.82587154434286,33.93958187400726,35.64684233639146,30.77880190080485,,,,,,
15,25.27,,,,,,,,,,,,30.438250325570635,34.50214202635067,36.642656739895656,30.706919969402378,27.434620763156502,,,,,
16,27.67,,,,,,,,,,,,,35.10888170248076,37.61271988050217,30.855685927384712,27.102788076156102,24.653211926291178,,,,
17,28.79,,,,,,,,,,,,,,38.61182466957554,31.204135011192975,27.21368600477838,24.64529062323504,28.1267507815422,,,
18,32.22,,,,,,,,,,,,,,,31.553605219436548,27.462144933787044,25.109971830001072,28.89137338388781,29.659882351217163,,
19,36.27,,,,,,,,,,,,,,,,27.682904437201486,25.66701366028832,29.242182860037886,30.08932860603825,33.320115623362625,
20,44.96,,,,,,,,,,,,,,,,,26.15567200993496,29.243152996659802,30.05458017175505,33.56402366292619,37.43344038222449
21,49.26,,,,,,,,,,,,,,,,,,29.24462653360513,29.99932958002934,33.52955657239555,38.01221939243952
22,72.88,,,,,,,,,,,,,,,,,,,29.96236914817247,33.32333724410918,38.19253147426164
23,93.2,,,,,,,,,,,,,,,,,,,,33.376279454447996,38.35152399173573
24,96.03,,,,,,,,,,,,,,,,,,,,,38.987693533383265
