date,y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,-1.3,-1.3357548838702398,,,,,,,,,,,,,,,,,,,,
1,-1.7,-1.2583928932276818,-1.196809199475613,,,,,,,,,,,,,,,,,,,
2,-2.0,-0.8859907897295356,-0.8166508001279347,-1.628294571272142,,,,,,,,,,,,,,,,,,
3,-1.8,-0.0942510058973367,-0.03753428967494088,-1.009877653848128,-1.603954064413398,,,,,,,,,,,,,,,,,
4,-2.0,1.0242319494256096,1.0497292412616055,0.06285042249768313,-0.6623436891428698,-1.0195719914981316,,,,,,,,,,,,,,,,
5,-0.4,,2.197482060478766,1.3124165869160516,0.5061028993931158,0.0046077732511031755,-1.6878962629043288,,,,,,,,,,,,,,,
6,4.3,,,2.5664204833579243,1.8181619528153048,1.2384450930224,-0.7621930548676064,1.4292615813725291,,,,,,,,,,,,,,
7,9.8,,,,2.9976860062635806,2.476097347206882,0.7787246351735204,3.3468110944297536,7.43437873082111,,,,,,,,,,,,,
8,12.1,,,,,3.4962726172114253,2.29761567856261,5.0660999538606575,10.062409204438026,9.77444336482888,,,,,,,,,,,,
9,13.4,,,,,,3.6255329830050327,6.7624855520257725,11.560538694597316,11.09898984410416,10.663101037463907,,,,,,,,,,,
10,14.3,,,,,,,8.604363618870163,11.8247186157659,13.572676994076792,10.801611561506153,10.785222873355265,,,,,,,,,,
11,15.6,,,,,,,,11.918259823449265,13.057243918379156,11.732750138928962,9.53916651333411,11.385421734463055,,,,,,,,,
12,14.9,,,,,,,,,13.855299168398078,11.258588626745162,8.208907976675116,10.54207740164233,15.901653338989643,,,,,,,,
13,14.8,,,,,,,,,,10.222062367774381,6.984616346969046,8.082286302183782,14.732291030424221,13.525194855735684,,,,,,,
14,14.8,,,,,,,,,,,6.423453328409794,7.3787307983679105,10.910688797671927,9.624255121560829,11.433789401098206,,,,,,
15,13.2,,,,,,,,,,,,6.5343063306832825,6.448259820407752,7.245694773490455,8.079192531749424,12.43869451854689,,,,,
16,12.8,,,,,,,,,,,,,9.561311952366585,8.428505628584393,7.975869798448547,8.676725258680955,10.107650769517083,,,,
17,9.8,,,,,,,,,,,,,,7.751548360409735,8.134588719796316,7.111006827163758,7.213957686286957,10.61913065232768,,,
18,5.3,,,,,,,,,,,,,,,8.16405152298358,7.573888024993474,7.741155622419234,9.209785403530756,8.783164500020956,,
19,3.8,,,,,,,,,,,,,,,,6.799194826294915,6.958381479745457,8.019553392185,7.65593521639855,5.106555266796324,
20,2.8,,,,,,,,,,,,,,,,,7.357530720623745,7.000248067107027,6.90870705930195,3.8193635927258853,2.362710432686656
21,1.6,,,,,,,,,,,,,,,,,,6.526851225459554,6.6296589049854955,2.2370031698292356,0.2006138229167238
22,1.0,,,,,,,,,,,,,,,,,,,6.228351436630336,2.1612011436231615,-0.27077937467206326
23,0.4,,,,,,,,,,,,,,,,,,,,2.0706105580111434,-0.9935266602439139
24,-0.2,,,,,,,,,,,,,,,,,,,,,-1.645591097533142
