,dataset,test_size,horizon,iter,mae,mse,rmse,smape,window_size,C,epsilon,gamma
0,weather,small,5,0,1,3,2,98,,,,
1,weather,small,5,1,2,4,2,142,,,,
2,weather,small,5,2,1,2,1,105,,,,
3,weather,small,5,3,2,11,3,100,,,,
4,weather,small,5,4,4,28,5,121,,,,
5,weather,small,5,5,7,60,8,149,,,,
6,weather,small,5,6,6,35,6,79,,,,
7,weather,small,5,7,2,7,3,21,,,,
8,weather,small,5,8,2,4,2,14,,,,
9,weather,small,5,9,4,14,4,29,,,,
10,weather,small,5,10,6,45,7,57,,,,
11,weather,small,5,11,6,36,6,52,,,,
12,weather,small,5,12,3,14,4,27,,,,
13,weather,small,5,13,4,17,4,35,,,,
14,weather,small,5,14,4,14,4,36,,,,
15,weather,small,5,15,3,8,3,34,,,,
16,weather,small,5,16,3,10,3,48,,,,
17,weather,small,5,17,4,15,4,68,,,,
18,weather,small,5,18,4,19,4,94,,,,
19,weather,small,5,19,1,1,1,60,,,,
20,weather,small,5,20,1,2,1,146,,,,
21,weather,small,5,0,1,3,2,98,,,,
22,weather,small,5,1,2,4,2,142,,,,
23,weather,small,5,2,1,2,1,105,,,,
24,weather,small,5,3,2,11,3,100,,,,
25,weather,small,5,4,4,28,5,121,,,,
26,weather,small,5,5,7,60,8,149,,,,
27,weather,small,5,6,6,35,6,79,,,,
28,weather,small,5,7,2,7,3,21,,,,
29,weather,small,5,8,2,4,2,14,,,,
30,weather,small,5,9,4,14,4,29,,,,
31,weather,small,5,10,6,45,7,57,,,,
32,weather,small,5,11,6,36,6,52,,,,
33,weather,small,5,12,3,14,4,27,,,,
34,weather,small,5,13,4,17,4,35,,,,
35,weather,small,5,14,4,14,4,36,,,,
36,weather,small,5,15,3,8,3,34,,,,
37,weather,small,5,16,3,10,3,48,,,,
38,weather,small,5,17,4,15,4,68,,,,
39,weather,small,5,18,4,19,4,94,,,,
40,weather,small,5,19,1,1,1,60,,,,
41,weather,small,5,20,1,2,1,146,,,,
42,weather,large,50,0,5,39,6,93,,,,
43,weather,large,50,1,5,40,6,95,,,,
44,weather,large,50,2,5,40,6,91,,,,
45,weather,large,50,3,5,41,6,90,,,,
46,weather,large,50,4,5,42,6,91,,,,
47,weather,large,50,5,6,44,7,93,,,,
48,weather,large,50,6,5,36,6,82,,,,
49,weather,large,50,7,5,35,6,77,,,,
50,weather,large,50,8,5,34,6,76,,,,
51,weather,large,50,9,5,37,6,80,,,,
52,weather,large,50,10,5,40,6,84,,,,
53,weather,large,50,11,5,39,6,85,,,,
54,weather,large,50,12,5,40,6,85,,,,
55,weather,large,50,13,5,40,6,87,,,,
56,weather,large,50,14,5,40,6,88,,,,
57,weather,large,50,15,5,40,6,87,,,,
58,weather,large,50,16,5,40,6,87,,,,
59,weather,large,50,17,5,40,6,87,,,,
60,weather,large,50,18,5,40,6,87,,,,
61,weather,large,50,19,5,42,6,87,,,,
62,weather,large,50,20,4,25,5,67,,,,
63,weather,large,50,21,4,28,5,71,,,,
64,weather,large,50,22,5,41,6,85,,,,
65,weather,large,50,23,4,37,6,73,,,,
66,weather,large,50,24,4,36,6,68,,,,
67,weather,large,50,25,4,36,6,70,,,,
68,weather,large,50,26,5,37,6,78,,,,
69,weather,large,50,27,5,37,6,77,,,,
70,weather,large,50,28,5,35,6,74,,,,
71,weather,large,50,29,5,36,6,75,,,,
72,weather,large,50,30,3,17,4,55,,,,
73,weather,large,50,31,10,129,11,89,,,,
74,weather,large,50,32,10,130,11,90,,,,
75,weather,large,50,33,10,132,12,91,,,,
76,weather,large,50,34,10,134,12,93,,,,
77,weather,large,50,35,11,137,12,95,,,,
78,weather,large,50,36,4,25,5,66,,,,
79,weather,large,50,37,12,150,12,100,,,,
80,weather,large,50,38,4,19,4,61,,,,
81,weather,large,50,39,3,11,3,51,,,,
82,weather,large,50,40,3,10,3,52,,,,
83,weather,large,50,41,3,11,3,52,,,,
84,weather,large,50,42,3,11,3,55,,,,
85,weather,large,50,43,3,11,3,56,,,,
86,weather,large,50,44,3,12,3,58,,,,
87,weather,large,50,45,3,11,3,55,,,,
88,weather,large,50,46,3,11,3,59,,,,
89,weather,large,50,47,3,13,4,64,,,,
90,weather,large,50,48,4,21,5,82,,,,
91,weather,large,50,49,4,25,5,97,,,,
92,weather,large,50,50,4,25,5,98,,,,
93,weather,large,50,51,3,15,4,74,,,,
